Index,screen_name,count,classification,user_defined_location,class,mean,std_dev,points>100,ratio
332,officialclicks,6,None,"Kolkata, India",2,100.827976,490.8950314,14,0.022522523
333,chefdmsbajaj,6,Resident,Gurgaon ,1,154.543177,964.7325744,41,1.002808989
334,thukralvarun,6,Resident,"New Delhi, India",1,3.071304661,26.25105597,2,76
335,m_Asmakhan,6,Resident,"New Delhi, India",1,16.19545032,105.9033308,8,18.19047619
336,Devende24072378,6,Resident,"Palwal , Haryana,India",2,39.59142882,52.11083155,93,0.876146789
337,officialnazimm,6,Resident,"Meerut, India",1,5225.88946,5390.344074,37,1.074074074
338,that90skid01,6,Tourist,"Faridabad, India",1,29.67410522,138.7295331,12,0.692810458
339,Fashiondeal7,6,Tourist,New Delhi,1,87.86170733,259.7273931,8,4.2
340,TheKing00256799,6,Resident,"New Delhi, India",1,0,0,0,
341,VivekKu71129488,5,None,"Agra, India",2,1.699628321,12.40831884,0,
342,om_maurya,5,Tourist,"New Delhi, India",1,95.47980394,566.2879536,46,0.515283843
343,imkLucky,5,Tourist,"Haridwar, India",2,49.83897753,75.53224693,25,
344,dietdimaadi,5,Tourist,NEW DELHI,1,96.5092391,509.1047201,4,0.280373832
345,vvaidofficial,5,Resident,"New Delhi , India",1,1.239937018,2.671085954,0,
346,NUTRITION_WRLD,5,Resident,New Delhi,1,25.81570385,156.6574076,8,8.772727273
347,omprakashkumaw6,5,None,"Jaipur, India",2,6.498943412,22.51300037,0,
348,toyhomein,5,Tourist,"Ghaziabad, Uttar Pradesh",1,163.1487294,342.581743,110,0.003355705
349,Lokesha25571089,5,Tourist,Gurgaon,1,68.4701784,222.4451462,61,0.307971014
350,ashwani05031998,5,None,Gosainganj Amethi U.P. India,2,27.32938718,40.93728123,0,
351,Froozbaba,5,Tourist,"New Delhi, India",1,25.46584615,109.7054339,6,1.032258065
352,TheCakesPort,5,None,Laxmi Nagar Vihar Delhi 110092,1,0.118705597,0.184572205,0,
353,avibhardwaz,5,Tourist,"New Delhi, India",1,6.321196815,6.954886638,0,1.583333333
354,harindersrana,5,Tourist,New Delhi,1,379.3893691,1259.731891,24,0.508474576
355,mukeshs64602470,5,Tourist,"Delhi, India",1,155.2081363,320.3849864,76,0.815533981
356,umaheshwari16,5,Resident,"Delhi, India",1,7.339993592,36.40990566,4,6.875
357,satish327,5,Resident,New Delhi India,1,3.839267389,14.15443597,2,87.33333333
358,DeepakRajput199,5,Resident,"New Delhi, India",1,1.362214433,2.29413529,0,8.6
359,TheFoodDude_In,5,Error,Shaheen Bagh,1,0.887325947,1.024595749,0,
360,Fernandovaganov,5,Resident,INDIA,1,3133.869834,4186.693578,37,1.966666667
361,animeriaowner,5,Tourist,"New Delhi, India",1,18.79912347,138.6471795,2,0.134453782
362,cfaacademy,5,None,NOIDA,1,101.0509948,269.7428008,45,0.00255102
363,simmisakhuja,5,Tourist,Mumbai,2,827.7127266,2865.571552,101,0.27184466
364,AyushChand1989,5,None,Ghaziabad Uttar Pradesh India,1,111.8360983,175.5921844,7,0.05
365,scottoliverwebb,5,None,Essex ,2,1697.35244,3388.684353,328,0.101928375
366,pvt_prime,5,None," No.20 /2,nearYMCA Chowk12100",1,0,0,0,
367,SBBJITSOLUTION,5,Tourist,Delhi,1,0.750512251,2.720895905,0,0.182539683
368,WoodscapesFurn,5,None,"New Delhi, India",1,0.022739714,0.207114818,0,
369,sandeep_kapoor0,5,Tourist,delhi,1,661.3801038,746.709618,1077,0.037068239
370,KuldeepInnocen3,5,None,"Gurgaon, India",1,26.89487612,110.1821366,2,
371,harjeeeet,4,Resident,New Delhi,1,1.092605859,1.785420363,0,
372,deejayMudit,4,Tourist,new delhi,1,663.505823,2282.29416,56,0.633587786
373,lwood_tm,4,None,"Lynwood, CA",2,5459.458478,7495.420377,2,
374,sonu21031995,4,Tourist,Delhi,1,323.9740367,1592.215362,15,0.727272727
375,alssolicitors,4,Tourist,New Delhi,1,211.6183462,412.2698646,50,0.27607362
376,delhi_marketing,4,None,"New Delhi, India",1,0.098558095,0.802572276,0,0.002222222
377,kundu8977,4,Resident,"New Delhi, India",1,551.9514777,1672.61549,29,5.794117647
378,sachvesh2000,4,None,"New Delhi, India",1,28.36970132,61.99990878,1,1
379,sanjaysaini2003,4,None,"Hajipur, India",2,35.88219981,52.78480502,3,
380,GuptaDentalCent,4,Resident,"Jangpura, New Delhi",1,0,0,0,
381,v2gworld,4,Resident,"New Delhi, India",1,625.0325664,581.5065479,248,2.180555556
382,Harshit7365,4,Tourist,"New Delhi, Delhi",1,91.43078926,622.0193423,19,0.892857143
383,HARENDR21921303,4,None,jogither,2,0,0,0,
384,aspirearabind,4,Tourist,"Bhubaneshwar, India",2,7434.721619,5828.74295,70,
385,KishanS98741263,4,None,Hometown.Rajasthan.Suart,2,691.1461779,2916.79086,15,0.147058824
386,FhraiO,4,Resident,Delhi,1,79.99118134,309.307084,6,14.5
387,olupumasah,4,None,"Ikoyi, Nigeria",2,2098.879912,3821.585505,10,0.291666667
388,KartikeyKumarV2,4,None,"Maharajganj, Indi",2,104.2111162,242.8963232,9,
389,Yaks_News,4,None,"Kukatpally, Hyderabad.",2,23.58819487,44.5822945,23,
390,iZamindaarSaheb,4,Tourist,"Kolkata, India",2,284.9462053,1043.488538,162,0.370283019
391,JindalMediSurge,4,Resident,"INDIA, NEW DELHI",1,0,0,0,
392,PrincemaxXtreme,4,None,"New Delhi, India",1,130.2333119,287.2203921,7,
393,juttiesmaker,4,Resident,"New Delhi, India",1,14.23557322,44.17283592,2,25
394,mukulrock007,4,Tourist,"New Delhi, India",1,744.0201954,2677.211513,20,0.405405405
395,DelhiNowMagz,4,Resident,DELHI,1,77.66487308,725.4011767,67,1.652173913
396,bluesandreverie,4,Resident,New Delhi ,1,6.062365492,6.270274723,0,6
397,Rohitaman13,4,Error,"New Delhi, India",1,33.92652905,75.98599185,1,0.166666667
398,amit71writes,4,None,"Gurgaon, India",1,0,0,0,
399,omsbishnoi,4,None,"Rajasthan, India",1,336.4589318,563.3920528,201,0.003571429
400,1469original,4,Resident,Panjab,2,826.2750898,2589.984172,225,2.591397849
401,sukaina1422,4,Tourist,India,2,1263.647165,3330.203821,61,3.683333333
402,KiranSharmaBjp1,4,Tourist,"Delhi, India",1,1.738904598,3.525371871,0,0.394736842
403,Oluwareezi,4,Tourist,"Abuja, Nigeria",2,447.7596674,1851.772881,13,0.039106145
404,yuvhrajsingh,4,Resident,New Delhi ,1,229.8642678,638.1644687,14,2.375
405,cehro_india,4,None,"Delhi, India",1,0.402550155,1.992106632,0,0.040816327
406,achesacherishte,4,Tourist,"Rohini, New Delhi",1,0.97929938,3.545197682,0,0.206521739
407,SakshiS63515602,4,None,"New Delhi, India",1,5.268552559,7.326227644,0,6
408,GauravPhogat1,4,None,New Delhi,1,189.0022426,1074.962977,7,0.634615385
409,manishseth,4,Resident,"New Delhi , India",1,349.2972744,1496.553026,145,2.559139785
410,a_decorators,4,None,jodhpur /bap,2,122.3194952,201.3847466,189,0.002040816
411,alikhaan1947,4,Resident,"Delhi, India",1,0,0,0,
